generation,species,regime,share,percentage
11,predator,P1,0.6799999999999999,68.0
11,predator,P2,0.010000000000000002,1.0000000000000002
11,predator,M1,0.010000000000000002,1.0000000000000002
11,predator,M2,0.010000000000000002,1.0000000000000002
12,prey,D,0.95,95.0
12,prey,N,0.010000000000000002,1.0000000000000002
12,prey,P1,0.010000000000000002,1.0000000000000002
12,prey,P2,0.010000000000000002,1.0000000000000002
12,prey,M1,0.010000000000000002,1.0000000000000002
12,prey,M2,0.010000000000000009,1.0000000000000009
12,predator,D,0.010000000000000002,1.0000000000000002
12,predator,N,0.38,38.0
12,predator,P1,0.58,57.99999999999999
12,predator,P2,0.010000000000000002,1.0000000000000002
12,predator,M1,0.010000000000000002,1.0000000000000002
12,predator,M2,0.010000000000000002,1.0000000000000002
13,prey,D,0.85,85.0
13,prey,N,0.010000000000000002,1.0000000000000002
13,prey,P1,0.010000000000000002,1.0000000000000002
13,prey,P2,0.010000000000000002,1.0000000000000002
13,prey,M1,0.010000000000000002,1.0000000000000002
13,prey,M2,0.11000000000000001,11.000000000000002
13,predator,D,0.010000000000000002,1.0000000000000002
13,predator,N,0.28,28.000000000000004
13,predator,P1,0.6799999999999999,68.0
13,predator,P2,0.010000000000000002,1.0000000000000002
13,predator,M1,0.010000000000000002,1.0000000000000002
13,predator,M2,0.010000000000000002,1.0000000000000002
14,prey,D,0.95,95.0
14,prey,N,0.010000000000000002,1.0000000000000002
14,prey,P1,0.010000000000000002,1.0000000000000002
14,prey,P2,0.010000000000000002,1.0000000000000002
14,prey,M1,0.010000000000000002,1.0000000000000002
14,prey,M2,0.010000000000000009,1.0000000000000009
14,predator,D,0.010000000000000002,1.0000000000000002
14,predator,N,0.38,38.0
14,predator,P1,0.58,57.99999999999999
14,predator,P2,0.010000000000000002,1.0000000000000002
14,predator,M1,0.010000000000000002,1.0000000000000002
14,predator,M2,0.010000000000000002,1.0000000000000002
15,prey,D,0.85,85.0
15,prey,N,0.010000000000000002,1.0000000000000002
15,prey,P1,0.010000000000000002,1.0000000000000002
15,prey,P2,0.010000000000000002,1.0000000000000002
15,prey,M1,0.010000000000000002,1.0000000000000002
15,prey,M2,0.11000000000000001,11.000000000000002
15,predator,D,0.010000000000000002,1.0000000000000002
15,predator,N,0.28,28.000000000000004
15,predator,P1,0.6799999999999999,68.0
15,predator,P2,0.010000000000000002,1.0000000000000002
15,predator,M1,0.010000000000000002,1.0000000000000002
15,predator,M2,0.010000000000000002,1.0000000000000002
16,prey,D,0.95,95.0
16,prey,N,0.010000000000000002,1.0000000000000002
16,prey,P1,0.010000000000000002,1.0000000000000002
16,prey,P2,0.010000000000000002,1.0000000000000002
16,prey,M1,0.010000000000000002,1.0000000000000002
16,prey,M2,0.010000000000000009,1.0000000000000009
16,predator,D,0.010000000000000002,1.0000000000000002
16,predator,N,0.38,38.0
16,predator,P1,0.58,57.99999999999999
16,predator,P2,0.010000000000000002,1.0000000000000002
16,predator,M1,0.010000000000000002,1.0000000000000002
16,predator,M2,0.010000000000000002,1.0000000000000002
17,prey,D,0.85,85.0
17,prey,N,0.010000000000000002,1.0000000000000002
17,prey,P1,0.010000000000000002,1.0000000000000002
17,prey,P2,0.010000000000000002,1.0000000000000002
17,prey,M1,0.010000000000000002,1.0000000000000002
17,prey,M2,0.11000000000000001,11.000000000000002
17,predator,D,0.010000000000000002,1.0000000000000002
17,predator,N,0.28,28.000000000000004
17,predator,P1,0.6799999999999999,68.0
17,predator,P2,0.010000000000000002,1.0000000000000002
17,predator,M1,0.010000000000000002,1.0000000000000002
17,predator,M2,0.010000000000000002,1.0000000000000002
18,prey,D,0.95,95.0
18,prey,N,0.010000000000000002,1.0000000000000002
18,prey,P1,0.010000000000000002,1.0000000000000002
18,prey,P2,0.010000000000000002,1.0000000000000002
18,prey,M1,0.010000000000000002,1.0000000000000002
18,prey,M2,0.010000000000000009,1.0000000000000009
18,predator,D,0.010000000000000002,1.0000000000000002
18,predator,N,0.38,38.0
18,predator,P1,0.58,57.99999999999999
18,predator,P2,0.010000000000000002,1.0000000000000002
18,predator,M1,0.010000000000000002,1.0000000000000002
18,predator,M2,0.010000000000000002,1.0000000000000002
19,prey,D,0.85,85.0
19,prey,N,0.010000000000000002,1.0000000000000002
19,prey,P1,0.010000000000000002,1.0000000000000002
19,prey,P2,0.010000000000000002,1.0000000000000002
19,prey,M1,0.010000000000000002,1.0000000000000002
19,prey,M2,0.11000000000000001,11.000000000000002
19,predator,D,0.010000000000000002,1.0000000000000002
19,predator,N,0.28,28.000000000000004
19,predator,P1,0.6799999999999999,68.0
19,predator,P2,0.010000000000000002,1.0000000000000002
19,predator,M1,0.010000000000000002,1.0000000000000002
19,predator,M2,0.010000000000000002,1.0000000000000002
20,prey,D,0.95,95.0
20,prey,N,0.010000000000000002,1.0000000000000002
20,prey,P1,0.010000000000000002,1.0000000000000002
20,prey,P2,0.010000000000000002,1.0000000000000002
20,prey,M1,0.010000000000000002,1.0000000000000002
20,prey,M2,0.010000000000000009,1.0000000000000009
20,predator,D,0.010000000000000002,1.0000000000000002
20,predator,N,0.38,38.0
20,predator,P1,0.58,57.99999999999999
20,predator,P2,0.010000000000000002,1.0000000000000002
20,predator,M1,0.010000000000000002,1.0000000000000002
20,predator,M2,0.010000000000000002,1.0000000000000002
21,prey,D,0.85,85.0
21,prey,N,0.010000000000000002,1.0000000000000002
21,prey,P1,0.010000000000000002,1.0000000000000002
21,prey,P2,0.010000000000000002,1.0000000000000002
21,prey,M1,0.010000000000000002,1.0000000000000002
21,prey,M2,0.11000000000000001,11.000000000000002
21,predator,D,0.010000000000000002,1.0000000000000002
21,predator,N,0.28,28.000000000000004
21,predator,P1,0.6799999999999999,68.0
21,predator,P2,0.010000000000000002,1.0000000000000002
21,predator,M1,0.010000000000000002,1.0000000000000002
21,predator,M2,0.010000000000000002,1.0000000000000002
22,prey,D,0.95,95.0
22,prey,N,0.010000000000000002,1.0000000000000002
22,prey,P1,0.010000000000000002,1.0000000000000002
22,prey,P2,0.010000000000000002,1.0000000000000002
22,prey,M1,0.010000000000000002,1.0000000000000002
22,prey,M2,0.010000000000000009,1.0000000000000009
22,predator,D,0.010000000000000002,1.0000000000000002
22,predator,N,0.38,38.0
22,predator,P1,0.58,57.99999999999999
22,predator,P2,0.010000000000000002,1.0000000000000002
22,predator,M1,0.010000000000000002,1.0000000000000002
22,predator,M2,0.010000000000000002,1.0000000000000002
23,prey,D,0.85,85.0
23,prey,N,0.010000000000000002,1.0000000000000002
23,prey,P1,0.010000000000000002,1.0000000000000002
23,prey,P2,0.010000000000000002,1.0000000000000002
23,prey,M1,0.010000000000000002,1.0000000000000002
23,prey,M2,0.11000000000000001,11.000000000000002
23,predator,D,0.010000000000000002,1.0000000000000002
23,predator,N,0.28,28.000000000000004
23,predator,P1,0.6799999999999999,68.0
23,predator,P2,0.010000000000000002,1.0000000000000002
23,predator,M1,0.010000000000000002,1.0000000000000002
23,predator,M2,0.010000000000000002,1.0000000000000002
24,prey,D,0.95,95.0
24,prey,N,0.010000000000000002,1.0000000000000002
24,prey,P1,0.010000000000000002,1.0000000000000002
24,prey,P2,0.010000000000000002,1.0000000000000002
24,prey,M1,0.010000000000000002,1.0000000000000002
24,prey,M2,0.010000000000000009,1.0000000000000009
24,predator,D,0.010000000000000002,1.0000000000000002
24,predator,N,0.38,38.0
24,predator,P1,0.58,57.99999999999999
24,predator,P2,0.010000000000000002,1.0000000000000002
24,predator,M1,0.010000000000000002,1.0000000000000002
24,predator,M2,0.010000000000000002,1.0000000000000002
25,prey,D,0.85,85.0
25,prey,N,0.010000000000000002,1.0000000000000002
25,prey,P1,0.010000000000000002,1.0000000000000002
25,prey,P2,0.010000000000000002,1.0000000000000002
25,prey,M1,0.010000000000000002,1.0000000000000002
25,prey,M2,0.11000000000000001,11.000000000000002
