round,species,regime,share_before,percentage_before,initial_mass,final_mass,mass_change,payoff
3,prey,M1,0.16666666666666669,16.666666666666668,0.1666666666666668,0.189258618423734,0.022591951757067213,0.9554332730461158
3,prey,M2,0.16666666666666669,16.666666666666668,0.1666666666666668,0.19430514424040538,0.02763847757373858,0.9503555690318374
3,predator,D,0.010000000000000002,1.0000000000000002,0.009999999999999998,0.008223292232573433,-0.0017767077674265656,0.9226861056880846
3,predator,N,0.16666666666666669,16.666666666666668,0.16666666666666666,0.12984548392390644,-0.03682118274276022,0.9452935836996736
3,predator,P1,0.22333333333333336,22.333333333333336,0.22333333333333333,0.17889917997021362,-0.044434153363119705,0.9528427253465992
3,predator,P2,0.16666666666666669,16.666666666666668,0.16666666666666666,0.1332407139833671,-0.033425952683299565,0.939033447460196
3,predator,M1,0.2666666666666667,26.66666666666667,0.26666666666666666,0.2127289208419016,-0.05393774582476507,0.9520395572498279
3,predator,M2,0.16666666666666669,16.666666666666668,0.16666666666666666,0.13383642505247903,-0.03283024161418763,0.9405643383429221
4,prey,D,0.4233333333333334,42.33333333333334,0.4233333333333335,0.49384873483567626,0.07051540150234276,0.9456506571731591
4,prey,N,0.010000000000000002,1.0000000000000002,0.010000000000000002,0.01145231706449637,0.0014523170644963682,0.9707300797261063
4,prey,P1,0.16666666666666669,16.666666666666668,0.1666666666666668,0.191813896087634,0.0251472294209672,0.9638500637735873
4,prey,P2,0.16666666666666669,16.666666666666668,0.1666666666666668,0.19397676117627113,0.027310094509604338,0.956698344928882
4,prey,M1,0.06666666666666668,6.666666666666668,0.06666666666666668,0.07584433437722662,0.009177667710559945,0.96575460767829
4,prey,M2,0.16666666666666669,16.666666666666668,0.1666666666666668,0.1944384441536225,0.027771777486955695,0.9554718219474021
4,predator,D,0.010000000000000002,1.0000000000000002,0.009999999999999998,0.008182247797115752,-0.0018177522028842465,0.9216289206559648
4,predator,N,0.16666666666666669,16.666666666666668,0.16666666666666666,0.12994594401062234,-0.03672072265604431,0.955386470779827
4,predator,P1,0.32333333333333336,32.333333333333336,0.32333333333333325,0.25812064965240444,-0.0652126836809288,0.9585952255561659
4,predator,P2,0.06666666666666668,6.666666666666668,0.06666666666666667,0.05306794446958292,-0.013598722197083746,0.9433740105934751
4,predator,M1,0.2666666666666667,26.66666666666667,0.26666666666666666,0.21223534584419768,-0.05443132082246899,0.9550370433598054
4,predator,M2,0.16666666666666669,16.666666666666668,0.16666666666666666,0.13311203398015625,-0.033554632686510405,0.9467507305133517
5,prey,D,0.48000000000000004,48.00000000000001,0.4800000000000001,0.5610994620484301,0.08109946204843,0.9500958631834064
5,prey,N,0.010000000000000002,1.0000000000000002,0.010000000000000002,0.011445159170732851,0.0014451591707328494,0.9726929247248872
5,prey,P1,0.16666666666666669,16.666666666666668,0.1666666666666668,0.19201522101950705,0.025348554352840252,0.9679046248863215
5,prey,P2,0.16666666666666669,16.666666666666668,0.1666666666666668,0.1941275652660726,0.027460898599405814,0.9585583305786752
5,prey,M1,0.010000000000000002,1.0000000000000002,0.010000000000000002,0.011390453332401638,0.0013904533324016356,0.9703221308552059
5,prey,M2,0.16666666666666669,16.666666666666668,0.1666666666666668,0.1945453758701491,0.027878709203482316,0.956916595880746
5,predator,D,0.010000000000000002,1.0000000000000002,0.009999999999999998,0.008156967735411337,-0.0018430322645886614,0.9201309566594449
5,predator,N,0.16666666666666669,16.666666666666668,0.16666666666666666,0.12998641140958078,-0.036680255257085875,0.9615182841914589
5,predator,P1,0.38,38.0,0.38,0.3026614219666716,-0.07733857803332839,0.9594243852496643
5,predator,P2,0.010000000000000002,1.0000000000000002,0.009999999999999998,0.007937143455488736,-0.0020628565445112625,0.9453747225267446
5,predator,M1,0.2666666666666667,26.66666666666667,0.26666666666666666,0.2118740894023156,-0.05479257726435105,0.9535783066919914
5,predator,M2,0.16666666666666669,16.666666666666668,0.16666666666666666,0.13265019241032625,-0.03401647425634041,0.9495750266297072
6,prey,D,0.5800000000000001,58.00000000000001,0.5799999999999998,0.6781692479056377,0.09816924790563786,0.9551010775539153
6,prey,N,0.010000000000000002,1.0000000000000002,0.010000000000000002,0.011492393287780088,0.001492393287780086,0.9757623564652711
6,prey,P1,0.06666666666666668,6.666666666666668,0.06666666666666668,0.07709225416544643,0.010425587498779754,0.9706037987863654
6,prey,P2,0.16666666666666669,16.666666666666668,0.1666666666666668,0.19422295821708332,0.02755629155041653,0.9630295399942446
6,prey,M1,0.010000000000000002,1.0000000000000002,0.010000000000000002,0.011453966359038439,0.0014539663590384371,0.9729935747839845
6,prey,M2,0.16666666666666669,16.666666666666668,0.1666666666666668,0.19444703633564686,0.027780369668980065,0.961173942719721
6,predator,D,0.010000000000000002,1.0000000000000002,0.009999999999999998,0.008170678156774958,-0.0018293218432250402,0.9269749061035977
6,predator,N,0.2666666666666667,26.66666666666667,0.26666666666666666,0.20814990831677824,-0.058516758349888426,0.9613350500297008
6,predator,P1,0.38,38.0,0.38,0.30324303706619005,-0.07675696293380996,0.9609792504642065
6,predator,P2,0.010000000000000002,1.0000000000000002,0.009999999999999998,0.00795228378790785,-0.002047716212092149,0.9491833696316165
