w1,w2,run_directory,remaining_pipeline_script,equilibrium_count,prey_consensus_leader,prey_consensus_probability_mean,prey_consensus_probability_min,prey_consensus_probability_max,prey_support_size_min,prey_support_size_max,prey_normalized_entropy_mean,predator_consensus_leader,predator_consensus_probability_mean,predator_consensus_probability_min,predator_consensus_probability_max,predator_support_size_min,predator_support_size_max,predator_normalized_entropy_mean,prey_expected_payoff_mean,prey_expected_payoff_min,prey_expected_payoff_max,predator_expected_payoff_mean,predator_expected_payoff_min,predator_expected_payoff_max
0.1,0.9,/home/tim/Documents/Spatial-modelling-of-animal-movements/script/reproduce_day_night/output/figure_runs/ma_campagne/runs/game_theory/weight_nash_heatmap/weight_runs/w1_0p1__w2_0p9,/home/tim/Documents/Spatial-modelling-of-animal-movements/script/reproduce_day_night/output/figure_runs/ma_campagne/runs/game_theory/weight_nash_heatmap/weight_runs/w1_0p1__w2_0p9/run_remaining_pipeline.sh,1,D,0.7108928952,0.7108928952,0.7108928952,2,2,0.3356199711,M2,0.9097817088,0.9097817088,0.9097817088,2,2,0.1691312833,0.8240779754,0.8240779754,0.8240779754,1.0732098888,1.0732098888,1.0732098888
0.1,1,/home/tim/Documents/Spatial-modelling-of-animal-movements/script/reproduce_day_night/output/figure_runs/ma_campagne/runs/game_theory/weight_nash_heatmap/weight_runs/w1_0p1__w2_1,/home/tim/Documents/Spatial-modelling-of-animal-movements/script/reproduce_day_night/output/figure_runs/ma_campagne/runs/game_theory/weight_nash_heatmap/weight_runs/w1_0p1__w2_1/run_remaining_pipeline.sh,1,D,0.6566858956,0.6566858956,0.6566858956,2,2,0.3589819286,M2,0.8861456647,0.8861456647,0.8861456647,2,2,0.1978494605,0.8238610273,0.8238610273,0.8238610273,1.0729779297,1.0729779297,1.0729779297
0.2,0,/home/tim/Documents/Spatial-modelling-of-animal-movements/script/reproduce_day_night/output/figure_runs/ma_campagne/runs/game_theory/weight_nash_heatmap/weight_runs/w1_0p2__w2_0,/home/tim/Documents/Spatial-modelling-of-animal-movements/script/reproduce_day_night/output/figure_runs/ma_campagne/runs/game_theory/weight_nash_heatmap/weight_runs/w1_0p2__w2_0/run_remaining_pipeline.sh,1,P1,1.0000000000,1.0000000000,1.0000000000,1,1,0.0000000000,D,1.0000000000,1.0000000000,1.0000000000,1,1,0.0000000000,0.8838394037,0.8838394037,0.8838394037,1.0345092058,1.0345092058,1.0345092058
0.2,0.1,/home/tim/Documents/Spatial-modelling-of-animal-movements/script/reproduce_day_night/output/figure_runs/ma_campagne/runs/game_theory/weight_nash_heatmap/weight_runs/w1_0p2__w2_0p1,/home/tim/Documents/Spatial-modelling-of-animal-movements/script/reproduce_day_night/output/figure_runs/ma_campagne/runs/game_theory/weight_nash_heatmap/weight_runs/w1_0p2__w2_0p1/run_remaining_pipeline.sh,1,P1,1.0000000000,1.0000000000,1.0000000000,1,1,0.0000000000,D,1.0000000000,1.0000000000,1.0000000000,1,1,0.0000000000,0.8818270856,0.8818270856,0.8818270856,1.0354657955,1.0354657955,1.0354657955
0.2,0.2,/home/tim/Documents/Spatial-modelling-of-animal-movements/script/reproduce_day_night/output/figure_runs/ma_campagne/runs/game_theory/weight_nash_heatmap/weight_runs/w1_0p2__w2_0p2,/home/tim/Documents/Spatial-modelling-of-animal-movements/script/reproduce_day_night/output/figure_runs/ma_campagne/runs/game_theory/weight_nash_heatmap/weight_runs/w1_0p2__w2_0p2/run_remaining_pipeline.sh,1,P1,0.7581422177,0.7581422177,0.7581422177,2,2,0.3087534465,D,0.9923882501,0.9923882501,0.9923882501,2,2,0.0249549658,0.8798129650,0.8798129650,0.8798129650,1.0374127802,1.0374127802,1.0374127802
0.2,0.3,/home/tim/Documents/Spatial-modelling-of-animal-movements/script/reproduce_day_night/output/figure_runs/ma_campagne/runs/game_theory/weight_nash_heatmap/weight_runs/w1_0p2__w2_0p3,/home/tim/Documents/Spatial-modelling-of-animal-movements/script/reproduce_day_night/output/figure_runs/ma_campagne/runs/game_theory/weight_nash_heatmap/weight_runs/w1_0p2__w2_0p3/run_remaining_pipeline.sh,1,P1,0.7981381778,0.7981381778,0.7981381778,3,3,0.3528155632,M2,0.8796334916,0.8796334916,0.8796334916,3,3,0.2511944955,0.8762342599,0.8762342599,0.8762342599,1.0431097349,1.0431097349,1.0431097349
0.2,0.4,/home/tim/Documents/Spatial-modelling-of-animal-movements/script/reproduce_day_night/output/figure_runs/ma_campagne/runs/game_theory/weight_nash_heatmap/weight_runs/w1_0p2__w2_0p4,/home/tim/Documents/Spatial-modelling-of-animal-movements/script/reproduce_day_night/output/figure_runs/ma_campagne/runs/game_theory/weight_nash_heatmap/weight_runs/w1_0p2__w2_0p4/run_remaining_pipeline.sh,1,P1,0.7568320183,0.7568320183,0.7568320183,3,3,0.4032708419,P2,0.5534900203,0.5534900203,0.5534900203,3,3,0.5095341559,0.8617776909,0.8617776909,0.8617776909,1.0506464126,1.0506464126,1.0506464126
0.2,0.5,/home/tim/Documents/Spatial-modelling-of-animal-movements/script/reproduce_day_night/output/figure_runs/ma_campagne/runs/game_theory/weight_nash_heatmap/weight_runs/w1_0p2__w2_0p5,/home/tim/Documents/Spatial-modelling-of-animal-movements/script/reproduce_day_night/output/figure_runs/ma_campagne/runs/game_theory/weight_nash_heatmap/weight_runs/w1_0p2__w2_0p5/run_remaining_pipeline.sh,1,P1,0.7265407888,0.7265407888,0.7265407888,3,3,0.4325246437,N,0.8321090640,0.8321090640,0.8321090640,3,3,0.3174895936,0.8469039351,0.8469039351,0.8469039351,1.0579456123,1.0579456123,1.0579456123
0.2,0.6,/home/tim/Documents/Spatial-modelling-of-animal-movements/script/reproduce_day_night/output/figure_runs/ma_campagne/runs/game_theory/weight_nash_heatmap/weight_runs/w1_0p2__w2_0p6,/home/tim/Documents/Spatial-modelling-of-animal-movements/script/reproduce_day_night/output/figure_runs/ma_campagne/runs/game_theory/weight_nash_heatmap/weight_runs/w1_0p2__w2_0p6/run_remaining_pipeline.sh,1,P1,0.8665264162,0.8665264162,0.8665264162,2,2,0.2193022612,N,0.8238451640,0.8238451640,0.8238451640,2,2,0.2598074813,0.8322251671,0.8322251671,0.8322251671,1.0673887146,1.0673887146,1.0673887146
0.2,0.7,/home/tim/Documents/Spatial-modelling-of-animal-movements/script/reproduce_day_night/output/figure_runs/ma_campagne/runs/game_theory/weight_nash_heatmap/weight_runs/w1_0p2__w2_0p7,/home/tim/Documents/Spatial-modelling-of-animal-movements/script/reproduce_day_night/output/figure_runs/ma_campagne/runs/game_theory/weight_nash_heatmap/weight_runs/w1_0p2__w2_0p7/run_remaining_pipeline.sh,1,P1,0.4703675527,0.4703675527,0.4703675527,3,3,0.5882574296,M2,0.5378236295,0.5378236295,0.5378236295,3,3,0.5480346643,0.8138552541,0.8138552541,0.8138552541,1.0733592347,1.0733592347,1.0733592347
